Company,year,Industry,Sector,lq_pay,m_pay,uq_pay
4imprint,2022,Consumer Discretionary,Media,16083,21444,29692
888 Holdings,2021,Consumer Discretionary,Travel and Leisure,63126,81693,109914
abrdn,2022,Financials,Investment Banking and Brokerage Services,48000,69000,107000
abrdn,2023,Financials,Investment Banking and Brokerage Services,54949,79370,112789
Admiral Group,2024,Financials,Non Life Insurance,29804,33925,50147
Admiral Group,2021,Financials,Non Life Insurance,25470,29881,48071
Admiral Group,2023,Financials,Non Life Insurance,27382,32050,48397
Admiral Group,2022,Financials,Non Life Insurance,26775,31144,47648
Admiral Group,2020,Financials,Non Life Insurance,27431,33015,48419
Admiral Group,2019,Financials,Non Life Insurance,24319,27980,40371
Aggreko,2020,Industrials,Support Services,34677,48927,70710
Aggreko,2019,Industrials,Support Services,34875,50513,72890
AJ Bell,2023,Financials,Financial Services,26558,33430,58796
AJ Bell,2022,Financials,Financial Services,24331,30052,51731
AJ Bell,2021,Financials,Financial Services,22823,28380,46996
AJ Bell,2020,Financials,Financial Services,22026,27511,44197
Anglo American,2024,Basic Materials,Industrial Metals and Mining,68148,113308,199626
Anglo American,2021,Basic Materials,Industrial Metals and Mining,53027,84452,150876
Anglo American,2020,Basic Materials,Industrial Metals and Mining,49805,74193,126812
Anglo American,2023,Basic Materials,Industrial Metals and Mining,60088,101277,189059
Anglo American,2022,Basic Materials,Industrial Metals and Mining,58523,98541,173168
AO World,2024,Consumer Services,General Retailers,25383,29828,40771
AO World,2021,Consumer Services,General Retailers,21114,26218,37533
Ascential,2023,Consumer Services,Media,43000,61000,90000
Ascential,2022,Consumer Services,Media,22665,41600,67410
Ascential,2021,Consumer Services,Media,20285,41197,66915
Ascential,2020,Consumer Services,Media,23275,40167,64914
Ascential,2019,Consumer Services,Media,34854,51416,77858
Ashtead,2021,Industrials,Industrial Transportation,21143,24763,28297
Ashtead,2020,Industrials,Industrial Transportation,20566,23199,32041
Ashtead,2024,Industrials,Industrial Transportation,24536,38966,48939
Ashtead,2023,Industrials,Industrial Transportation,25719,31403,53664
Ashtead,2022,Industrials,Industrial Transportation,24819,31114,35885
ASOS,2023,Consumer Discretionary,Retailer,31035,49832,77452
ASOS,2022,Consumer Discretionary,Retailer,28032,47668,71593
ASOS,2021,Consumer Discretionary,Retailer,27531,54272,75140
Associated British Foods,2021,Consumer Goods,Food Producers,19775,21888,29422
Associated British Foods,2020,Consumer Goods,Food Producers,14175,16492,24026
Associated British Foods,2024,Consumer Goods,Food Producers,25665,27709,32868
Associated British Foods,2023,Consumer Goods,Food Producers,20957,24655,31390
Associated British Foods,2022,Consumer Goods,Food Producers,20049,22078,27012
Aston Martin,2023,Industrials,Automobiles and Parts,49000,49000,49000
Aston Martin,2022,Industrials,Automobiles and Parts,44000,52000,63000
Aston Martin,2021,Industrials,Automobiles and Parts,39000,45000,55000
Aston Martin,2020,Industrials,Automobiles and Parts,37000,43000,50000
Aston Martin,2019,Industrials,Automobiles and Parts,40000,47000,57000
AstraZeneca,2019,Health Care,Pharmaceuticals and Biotechnology,51000,75000,117000
AstraZeneca,2024,Health Care,Pharmaceuticals and Biotechnology,64000,96000,144000
AstraZeneca,2021,Health Care,Pharmaceuticals and Biotechnology,58000,86000,130000
AstraZeneca,2020,Health Care,Pharmaceuticals and Biotechnology,54000,78000,119000
AstraZeneca,2023,Health Care,Pharmaceuticals and Biotechnology,62000,92000,139000
AstraZeneca,2022,Health Care,Pharmaceuticals and Biotechnology,67000,96000,143000
Auto Trader,2022,Technology,Software and Computer Services,35938,49910,70608
Auto Trader,2021,Technology,Software and Computer Services,32855,48025,67213
Auto Trader,2020,Technology,Software and Computer Services,32119,47379,65196
Auto Trader,2024,Technology,Software and Computer Services,39283,54173,78143
Auto Trader,2023,Technology,Software and Computer Services,34995,47649,70227
Aveva,2022,Technology,Software and Computer Services,48457,68250,91753
Aveva,2021,Technology,Software and Computer Services,46080,62419,82642
Aveva,2020,Technology,Software and Computer Services,45000,64000,87000
Aviva,2024,Financials,Life Insurance,34269,48229,79257
Aviva,2021,Financials,Life Insurance,29406,42836,71952
Aviva,2020,Financials,Life Insurance,27677,39773,66209
Aviva,2019,Financials,Life Insurance,27285,39134,65664
Aviva,2023,Financials,Life Insurance,32590,45882,75262
Aviva,2022,Financials,Life Insurance,30583,43603,72530
Avon Rubber,2021,Industrials,Aerospace and Defence,23987,29975,43262
Avon Rubber,2020,Industrials,Aerospace and Defence,23255,27789,44980
B&M European Value Retail,2024,Consumer Services,General Retailers,21766,21766,23444
B&M European Value Retail,2023,Consumer Services,General Retailers,19844,19844,21554
B&M European Value Retail,2022,Consumer Services,General Retailers,18612,18612,19583
B&M European Value Retail,2021,Consumer Services,General Retailers,17514,18490,18951
B&M European Value Retail,2020,Consumer Services,General Retailers,16950,16962,17589
Babcock,2024,Industrials,Aerospace and Defence,37600,44100,55800
Babcock,2023,Industrials,Aerospace and Defence,32300,39300,52800
Babcock,2022,Industrials,Aerospace and Defence,32300,41400,54700
Babcock,2021,Industrials,Aerospace and Defence,29700,39200,52000
Babcock,2020,Industrials,Aerospace and Defence,29200,37600,50600
BAE Systems,2021,Industrials,Aerospace and Defence,41286,50327,71472
BAE Systems,2020,Industrials,Aerospace and Defence,50444,59183,68487
BAE Systems,2019,Industrials,Aerospace and Defence,43873,54833,66964
BAE Systems,2024,Industrials,Aerospace and Defence,50310,63839,74612
BAE Systems,2023,Industrials,Aerospace and Defence,50923,70473,74344
BAE Systems,2022,Industrials,Aerospace and Defence,46998,65014,71679
Bakkavor,2024,Consumer Staples,Food Producers,27898,30856,34072
Bakkavor,2022,Consumer Staples,Food Producers,20317,24751,25242
Balfour Beatty,2022,Industrials,Construction & Materials,35575,50749,67777
Balfour Beatty,2021,Industrials,Construction & Materials,35055,51459,73186
Balfour Beatty,2020,Industrials,Construction & Materials,33336,47653,66553
Balfour Beatty,2019,Industrials,Construction & Materials,32170,45678,65173
Balfour Beatty,2023,Industrials,Construction & Materials,37243,53321,73057
Barclays,2021,Financials,Banks,31404,48253,85407
Barclays,2020,Financials,Banks,29380,44631,79324
Barclays,2019,Financials,Banks,27875,42362,77488
Barclays,2024,Financials,Banks,40094,57854,98224
Barclays,2023,Financials,Banks,38194,55801,95341
Barclays,2022,Financials,Banks,33711,51493,71071
"Barr, A.G.",2024,Consumer Staples,Beverages,33352,41246,58033
"Barr, A.G.",2023,Consumer Staples,Beverages,31748,39785,56521
"Barr, A.G.",2022,Consumer Staples,Beverages,30547,37654,55524
Barratt Developments,2021,Consumer Goods,Household Goods and Home Construction,33863,41210,64425
Barratt Developments,2020,Consumer Goods,Household Goods and Home Construction,31044,38674,59133
Barratt Developments,2023,Consumer Goods,Household Goods and Home Construction,38954,54158,73414
Barratt Developments,2022,Consumer Goods,Household Goods and Home Construction,35887,46429,77134
Beazley,2024,Financials,Non Life Insurance,71142,121884,191653
Beazley,2023,Financials,Non Life Insurance,75585,125067,191227
Beazley,2022,Financials,Non Life Insurance,53016,93883,142266
Beazley,2021,Financials,Non Life Insurance,51846,96347,149151
Beazley,2020,Financials,Non Life Insurance,50212,86641,133270
Beazley,2019,Financials,Non Life Insurance,52500,89500,148300
Bellway,2024,Consumer Goods,Household Goods and Home Construction,35534,51475,76381
Bellway,2023,Consumer Goods,Household Goods and Home Construction,32422,49903,74421
Bellway,2022,Consumer Goods,Household Goods and Home Construction,32148,48662,70036
Bellway,2021,Consumer Goods,Household Goods and Home Construction,29886,44864,65866
Bellway,2020,Consumer Goods,Household Goods and Home Construction,25580,40415,60675
Berkeley,2021,Consumer Goods,Household Goods and Home Construction,42176,67254,93490
Berkeley,2020,Consumer Goods,Household Goods and Home Construction,42576,64083,96049
Berkeley,2023,Consumer Goods,Household Goods and Home Construction,42471,65571,104866
Berkeley,2022,Consumer Goods,Household Goods and Home Construction,40293,73571,94820
Biffa,2022,Industrials,Support Services,20959,27048,34799
Biffa,2021,Industrials,Support Services,20611,26150,32126
Biffa,2020,Industrials,Support Services,19838,26016,32388
Big Yellow,2025,Financials,Real Estate Investment Trusts,29057,33809,47108
Big Yellow,2024,Financials,Real Estate Investment Trusts,26876,31864,47516
Big Yellow,2023,Financials,Real Estate Investment Trusts,28148,31398,48746
Big Yellow,2022,Financials,Real Estate Investment Trusts,23535,27286,38098
Big Yellow,2021,Financials,Real Estate Investment Trusts,24109,29406,46162
Big Yellow,2020,Financials,Real Estate Investment Trusts,22555,27232,40975
Bloomsnbury Publishing,2024,Consumer Discretionary,Media,32621,41911,59909
Bodycote,2023,Basic Materials,Industrial Engineering,33712,42542,61294
Bodycote,2022,Basic Materials,Industrial Engineering,30750,39361,56940
Bodycote,2021,Basic Materials,Industrial Engineering,28704,37716,55442
Bodycote,2020,Basic Materials,Industrial Engineering,27728,34859,47373
Bodycote,2019,Basic Materials,Industrial Engineering,22379,41424,74341
BP,2021,Oil and Gas,Oil and Gas Producers,21450,50959,126334
BP,2020,Oil and Gas,Oil and Gas Producers,18984,46933,98546
BP,2019,Oil and Gas,Oil and Gas Producers,19108,55071,126085
BP,2024,Oil and Gas,Oil and Gas Producers,27343,72678,143202
BP,2023,Oil and Gas,Oil and Gas Producers,25535,66822,150704
BP,2022,Oil and Gas,Oil and Gas Producers,23810,58440,146357
Breedon Group,2023,Industrials,Construction & Materials,34302,41275,52586
Brewin Dolphin Holdings,2021,Financials,Financial Services,35508,60541,105505
Brewin Dolphin Holdings,2020,Financials,Financial Services,33613,55678,100536
Brewin Dolphin Holdings,2019,Financials,Financial Services,31412,52536,100435
British American Tobacco,2024,Consumer Goods,Tobacco,63551,106536,216994
British American Tobacco,2021,Consumer Goods,Tobacco,53980,83438,202314
British American Tobacco,2020,Consumer Goods,Tobacco,49345,76702,176272
British American Tobacco,2019,Consumer Goods,Tobacco,46216,77754,183179
British American Tobacco,2023,Consumer Goods,Tobacco,53401,88731,195708
British American Tobacco,2022,Consumer Goods,Tobacco,54841,85058,217176
British Land,2024,Financials,Real Estate Investment Trusts,56971,84878,126938
British Land,2023,Financials,Real Estate Investment Trusts,52829,77980,118239
British Land,2022,Financials,Real Estate Investment Trusts,50813,74750,113761
British Land,2021,Financials,Real Estate Investment Trusts,47000,70000,101000
British Land,2020,Financials,Real Estate Investment Trusts,46830,68949,106240
Britvic,2024,Consumer Goods,Beverages,33282,52501,79504
Britvic,2023,Consumer Goods,Beverages,37042,51863,71918
Britvic,2022,Consumer Goods,Beverages,33770,45474,73529
Britvic,2021,Consumer Goods,Beverages,34132,41227,65746
Britvic,2020,Consumer Goods,Beverages,34520,38118,54327
BT,2025,Telecommunications,Telecommunications Service Providers,38000,41000,53000
BT,2022,Telecommunications,Telecommunications Service Providers,35772,40059,49488
BT,2021,Telecommunications,Telecommunications Service Providers,35569,41600,50391
BT,2020,Telecommunications,Telecommunications Service Providers,34881,42173,51351
BT,2024,Telecommunications,Telecommunications Service Providers,35794,37617,53691
BT,2023,Telecommunications,Telecommunications Service Providers,36960,40095,50999
Bunzl,2024,Industrials,General Industrials,27156,31243,45621
Bunzl,2021,Industrials,General Industrials,22549,26627,39592
Bunzl,2020,Industrials,General Industrials,21696,25517,38917
Bunzl,2019,Industrials,General Industrials,20880,24905,36718
Bunzl,2023,Industrials,General Industrials,25339,29468,43030
Bunzl,2022,Industrials,General Industrials,23375,27779,41822
Burberry,2024,Consumer Goods,Personal Goods,31000,41000,65000
Burberry,2023,Consumer Goods,Personal Goods,28000,37000,59000
Burberry,2022,Consumer Goods,Personal Goods,25000,34000,54000
Burberry,2021,Consumer Goods,Personal Goods,24000,32000,51000
Burberry,2020,Consumer Goods,Personal Goods,24000,34000,52000
BYTES TECHNOLOGY GROUP PLC,2025,Technology,Software and Computer Services,37865,57412,92633
BYTES TECHNOLOGY GROUP PLC,2024,Technology,Software and Computer Services,36385,55647,91713
BYTES TECHNOLOGY GROUP PLC,2023,Technology,Software and Computer Services,35328,53366,92590
BYTES TECHNOLOGY GROUP PLC,2022,Technology,Software and Computer Services,31287,49730,88222
C&C,2025,Consumer Goods,Beverages,28235,35056,45953
C&C,2024,Consumer Goods,Beverages,26635,32692,43429
C&C,2023,Consumer Goods,Beverages,28957,35795,47986
C&C,2022,Consumer Goods,Beverages,22275,28407,37741
C&C,2021,Consumer Goods,Beverages,21048,26611,37934
C&C,2020,Consumer Goods,Beverages,23056,28445,39749
Capita,2021,Industrials,Support Services,24386,31040,48997
Capita,2020,Industrials,Support Services,19310,26800,40371
Capita,2019,Industrials,Support Services,19147,31708,57049
Centrica,2024,Utilities,"Gas, Water and Multi-Utilities",33500,55265,61121
Centrica,2021,Utilities,"Gas, Water and Multi-Utilities",30172,36458,58333
Centrica,2020,Utilities,"Gas, Water and Multi-Utilities",31375,66933,71714
Centrica,2019,Utilities,"Gas, Water and Multi-Utilities",34882,40897,53909
Centrica,2023,Utilities,"Gas, Water and Multi-Utilities",41514,58029,68439
Centrica,2022,Utilities,"Gas, Water and Multi-Utilities",35073,57939,63705
Chemring,2023,Industrials,Aerospace and Defence,32666,50160,78732
Chemring,2022,Industrials,Aerospace and Defence,34196,49941,78523
Chemring,2021,Industrials,Aerospace and Defence,30513,46650,72113
Chemring,2020,Industrials,Aerospace and Defence,26184,41848,66096
Cineworld,2020,Consumer Services,Travel & Leisure,16832,17714,19327
Cineworld,2019,Consumer Services,Travel & Leisure,17777,18467,21074
Clarkson,2023,Industrials,Industrial Transportation,40000,76000,132000
Clarkson,2022,Industrials,Industrial Transportation,43000,75000,129000
Clarkson,2021,Industrials,Industrial Transportation,41000,71000,118000
Clarkson,2020,Industrials,Industrial Transportation,41000,70500,118041
Clarkson,2019,Industrials,Industrial Transportation,34428,60725,112569
Close Brothers,2023,Financials,Banks,36093,59000,92969
Close Brothers,2022,Financials,Banks,33571,56952,93459
Close Brothers,2021,Financials,Banks,32437,54729,89927
Close Brothers,2020,Financials,Banks,32194,54245,90029
CLS HOLDINGS,2022,Real Estate,Real Estate Investment and Services,54997,70677,112542
CLS HOLDINGS,2021,Real Estate,Real Estate Investment and Services,58157,79276,129875
CMC,2024,Financials,Financial Services,50100,80000,110700
CMC,2023,Financials,Financial Services,48600,79300,108200
CMC,2022,Financials,Financial Services,48400,79200,105500
CMC,2021,Financials,Financial Services,44200,68500,96400
CMC,2020,Financials,Financial Services,40300,62600,89700
Coats,2023,Industrials,Industrial Goods and Services,54509,90569,188989
Coats,2022,Industrials,Industrial Goods and Services,43875,81212,167562
Coats,2021,Industrials,Industrial Goods and Services,42784,64392,151070
Compass,2021,Consumer Services,Travel & Leisure,19000,23000,26000
Compass,2020,Consumer Services,Travel & Leisure,18000,21000,28000
Compass,2023,Consumer Services,travel & Leisure,23000,25000,32000
Compass,2022,Consumer Services,travel & Leisure,21000,26000,29000
Computacenter,2023,Technology,Software and Computer Services,36146,52465,83849
Computacenter,2022,Technology,Software and Computer Services,33965,49270,75077
Computacenter,2021,Technology,Software and Computer Services,35857,49353,73618
Computacenter,2020,Technology,Software and Computer Services,36862,44228,75457
Computacenter,2019,Technology,Software and Computer Services,31435,47335,67083
Convatec,2024,Health Care,Health Care and Equipment Services,43296,58123,87627
Convatec,2023,Health Care,Health Care and Equipment Services,40145,53121,82799
Convatec,2022,Health Care,Health Care and Equipment Services,34757,44418,73336
Convatec,2021,Health Care,Health Care and Equipment Services,32663,41964,71619
Convatec,2020,Health Care,Health Care and Equipment Services,33425,42641,69668
Convatec,2019,Health Care,Health Care and Equipment Services,30652,40601,65922
Countryside Partnerships,2021,Consumer Discretionary,Consumer Products and Services,37256,57803,96922
Cranswick,2024,Consumer Goods,Food Producers,30000,35000,42000
Cranswick,2023,Consumer Goods,Food Producers,28000,33000,41000
Cranswick,2022,Consumer Goods,Food Producers,25000,30000,37000
Cranswick,2021,Consumer Goods,Food Producers,26000,30000,37000
Cranswick,2020,Consumer Goods,Food Producers,24000,29000,37000
Crest Nicholson,2024,Consumer Goods,Household Goods and Home Construction,34548,68991,80829
Crest Nicholson,2023,Consumer Goods,Household Goods and Home Construction,49026,66376,78776
Crest Nicholson,2022,Consumer Goods,Household Goods and Home Construction,32062,46905,71167
Crest Nicholson,2021,Consumer Goods,Household Goods and Home Construction,31051,44930,68928
Crest Nicholson,2020,Consumer Goods,Household Goods and Home Construction,29977,43346,68121
CRH,2021,Industrials,Construction & Materials,29982,40480,52406
CRH,2020,Industrials,Construction & Materials,26926,37201,48361
CRH,2019,Industrials,Construction & Materials,28395,39594,51940
CRH,2022,Industrials,Construction & Materials,29712,39559,50699
Croda,2024,Basic Materials,Chemicals,38901,50206,60212
Croda,2021,Basic Materials,Chemicals,33654,46050,55440
Croda,2020,Basic Materials,Chemicals,31869,42252,50125
Croda,2019,Basic Materials,Chemicals,29552,38856,46113
Croda,2023,Basic Materials,Chemicals,37490,49357,61142
Croda,2022,Basic Materials,Chemicals,34287,46169,57178
Currys,2023,Consumer Discretionary,Retailer,23707,25212,32085
Currys,2022,Consumer Discretionary,Retailer,19690,22437,30317
Darktrace,2023,Technology,Software and Computer Services,41249,55146,95247
Darktrace,2022,Technology,Software and Computer Services,33387,43891,72649
Darktrace,2021,Technology,Software and Computer Services,43626,51828,79962
Dechra Pharmaceutical,2023,Health Care,Pharmaceuticals and Biotechnology,30000,41000,80000
Dechra Pharmaceutical,2021,Health Care,Pharmaceuticals and Biotechnology,25000,35000,67000
Dechra Pharmaceutical,2022,Health Care,Pharmaceuticals and Biotechnology,26000,36000,69000
Dechra Pharmaceutical,2020,Health Care,Pharmaceuticals and Biotechnology,24000,30000,57000
Diageo,2021,Consumer Goods,Beverages,47240,60093,76321
Diageo,2020,Consumer Goods,Beverages,41881,54234,68112
Diageo,2024,Consumer Goods,Beverages,44668,60620,77388
Diageo,2023,Consumer Goods,Beverages,47295,61733,80159
Diageo,2022,Consumer Goods,Beverages,50260,64627,81888
Diploma,2023,Industrials,Support Services,26609,32670,46272
Diploma,2022,Industrials,Support Services,24090,29074,40216
Diploma,2021,Industrials,Support Services,23010,29036,41523
Diploma,2020,Industrials,Support Services,22641,28701,42377
Direct Line,2023,Financials,Non Life Insurance,24786,29836,48616
Direct Line,2022,Financials,Non Life Insurance,27147,35158,52218
Direct Line,2021,Financials,Non Life Insurance,25691,32900,48302
Direct Line,2020,Financials,Non Life Insurance,24885,30401,44905
Direct Line,2019,Financials,Non Life Insurance,23665,28894,43275
DiscoverIE Group,2024,Technology,Technology Hardware and Development,25750,34400,59691
DiscoverIE Group,2023,Technology,Technology Hardware and Development,25993,32311,52653
DiscoverIE Group,2022,Technology,Technology Hardware and Development,22109,37977,58426
Dixons Carphone,2022,Consumer Services,General Retailers,19690,22437,30317
Dixons Carphone,2021,Consumer Services,General Retailers,17254,20327,26868
Dixons Carphone,2020,Consumer Services,General Retailers,19206,21590,27704
Domino's Pizza,2023,Consumer Services,Travel & Leisure,21612,29327,48941
Domino's Pizza,2022,Consumer Services,Travel & Leisure,20125,26966,54919
Domino's Pizza,2021,Consumer Services,Travel & Leisure,17913,32657,49970
Domino's Pizza,2020,Consumer Services,Travel & Leisure,17828,30482,46620
Domino's Pizza,2019,Consumer Services,Travel & Leisure,16264,30022,45553
Dr Martens,2024,Consumer Discretionary,Consumer Products and Services,25700,30400,53500
Dr Martens,2023,Consumer Discretionary,Consumer Products and Services,24100,28300,50100
Dr Martens,2022,Consumer Discretionary,Consumer Products and Services,21400,27700,52800
Dr Martens,2021,Consumer Discretionary,Consumer Products and Services,34000,42000,74000
Drax,2024,Utilities,Electricity,46292,75409,99772
Drax,2023,Utilities,Electricity,37541,61948,94359
Drax,2022,Utilities,Electricity,47370,68326,94770
Drax,2021,Utilities,Electricity,32722,53033,81336
Drax,2020,Utilities,Electricity,29237,49793,76968
Drax,2019,Utilities,Electricity,27569,45833,71716
Dunelm,2023,Consumer Services,General Retailers,21445,22880,29682
Dunelm,2022,Consumer Services,General Retailers,21569,22193,24003
Dunelm,2021,Consumer Services,General Retailers,19793,19793,21740
Dunelm,2020,Consumer Services,General Retailers,16409,18918,23498
EasyJet,2024,Consumer Services,Travel & Leisure,31128,38812,83805
EasyJet,2023,Consumer Services,Travel & Leisure,29640,38340,82719
EasyJet,2022,Consumer Services,Travel & Leisure,27002,36312,83422
EasyJet,2021,Consumer Services,Travel & Leisure,29981,38992,78134
EasyJet,2020,Consumer Services,Travel & Leisure,25085,32926,64810
Electrocomponents,2022,Industrials,Support Services,22552,27770,46333
Electrocomponents,2021,Industrials,Support Services,25555,28750,51632
Electrocomponents,2020,Industrials,Support Services,21357,26633,42105
Elementis,2023,Basic Materials,Chemicals,41214,52843,90125
Elementis,2022,Basic Materials,Chemicals,45479,54945,92779
Elementis,2021,Basic Materials,Chemicals,46206,58025,85190
Empiric Student Property,2023,Financials,Real Estate Investment and Services,25391,27463,35774
Entain,2024,Consumer Services,Travel & Leisure,31419,40272,45685
Entain,2021,Consumer Services,Travel & Leisure,18503,21028,26330
Entain,2020,Consumer Services,Travel & Leisure,18667,20808,26429
Entain,2023,Utilities,Electricity,20893,24090,28663
Entain,2022,Utilities,Electricity,18917,21988,26208
Entain,2019,Consumer Services,Travel & Leisure,17409,21120,28524
Essentra,2023,Industrials,Support Services,26879,38321,59386
Essentra,2022,Industrials,Support Services,24675,34846,55378
Essentra,2021,Industrials,Support Services,21874,26215,41014
Essentra,2020,Industrials,Support Services,21074,26951,41402
Essentra,2019,Industrials,Support Services,20499,27101,38131
Euromoney,2021,Industrials,Support Services,38841,66811,135151
Experian,2025,Industrials,Support Services,49638,72045,106081
Experian,2022,Industrials,Support Services,43957,64062,98754
Experian,2021,Industrials,Support Services,40969,61115,93574
Experian,2020,Industrials,Support Services,38630,57803,91736
Experian,2024,Industrials,Support Services,50091,72026,109161
Experian,2023,Industrials,Support Services,51978,75887,112982
FDM Group,2022,Technology,Software and Computer Services,23902,26626,37641
FDM Group,2021,Technology,Software and Computer Services,23607,28765,39779
FDM Group,2020,Technology,Software and Computer Services,27210,34775,44483
FDM Group,2019,Technology,Software and Computer Services,24911,27339,37305
Ferguson,2021,Industrials,Support Services,55300,117800,214600
Ferguson,2020,Industrials,Support Services,20100,23900,34000
Firstgroup,2024,Consumer Services,Travel & Leisure,33279,35182,53996
Firstgroup,2023,Consumer Services,Travel & Leisure,35189,40145,54283
Firstgroup,2022,Consumer Services,Travel & Leisure,33073,36395,55051
Firstgroup,2021,Consumer Services,Travel & Leisure,27560,34002,53437
Firstgroup,2020,Consumer Services,Travel & Leisure,24600,32000,45400
Fisher,2019,Industrials,Industrial Transportation,25459,36541,55240
Flutter,2021,Consumer Services,Travel & Leisure,24281,39327,69146
Flutter,2020,Consumer Services,Travel & Leisure,22129,37938,65929
Flutter,2019,Consumer Services,Travel & Leisure,19555,23707,38890
Flutter,2023,Consumer Services,Travel & Leisure,29788,45209,83461
Flutter,2022,Consumer Services,Travel & Leisure,26720,39933,71133
Future,2023,Technology,Software and Computer Services,30389,40308,57580
Future,2022,Technology,Software and Computer Services,26711,32378,42457
Future,2021,Technology,Software and Computer Services,28388,36775,47941
Future,2020,Technology,Software and Computer Services,34457,43992,56165
G4S,2020,Industrials,Support Services,20823,23029,27005
G4S,2019,Industrials,Support Services,19446,22186,28163
Games Workshop,2023,Consumer Services,General Retailers,25000,30000,36000
Games Workshop,2022,Consumer Services,General Retailers,24000,29000,37000
Games Workshop,2021,Consumer Services,General Retailers,23000,28000,41000
Games Workshop,2020,Consumer Services,General Retailers,20000,25000,34000
Gamesys Group,2020,Consumer Services,Travel & Leisure,31551,49375,75000
Gamesys Group,2019,Consumer Services,Travel & Leisure,30943,47696,75602
Genuit,2023,Industrials,Construction & Materials,26434,29072,39712
Genuit,2022,Industrials,Construction & Materials,22237,27906,38897
Genuit,2021,Industrials,Construction & Materials,22449,26828,36011
Genus,2024,Pharmaceuticals and Biotechnology,Biotechnology,30561,35648,49476
Genus,2023,Pharmaceuticals and Biotechnology,Biotechnology,30345,35924,50199
Genus,2022,Health Care,Pharmaceuticals and Biotechnology,27774,33999,44818
Genus,2021,Health Care,Pharmaceuticals and Biotechnology,27347,32464,43796
Genus,2020,Health Care,Pharmaceuticals and Biotechnology,25230,31748,42426
Grafton Group,2024,Industrials,Support Services,24667,28212,34682
Grafton Group,2023,Industrials,Support Services,23219,27536,34010
Grafton Group,2022,Industrials,Support Services,22402,25389,30855
Grafton Group,2021,Industrials,Support Services,21419,24662,32246
Grafton Group,2020,Industrials,Support Services,20036,23716,30753
Grafton Group,2019,Industrials,Support Services,20490,24697,32596
Grainger,2023,Financials,Real Estate Investment and Services,31830,49900,85792
Grainger,2022,Financials,Real Estate Investment and Services,31831,47521,81690
Grainger,2021,Financials,Real Estate Investment and Services,32711,48540,80586
Grainger,2020,Financials,Real Estate Investment and Services,29968,44748,76196
Greencore,2024,Consumer Goods,Food Producers,23547,29041,31497
Greencore,2021,Consumer Goods,Food Producers,20928,23330,28893
Greencore,2020,Consumer Goods,Food Producers,20233,21650,24407
Greggs,2023,Consumer Services,Food and Drug Retailers,24826,26533,25973
Greggs,2022,Consumer Services,Food and Drug Retailers,22349,23950,25304
Greggs,2021,Consumer Services,Food and Drug Retailers,21340,21553,22647
Greggs,2022,Consumer Services,Food and Drug Retailers,19824,19966,28792
Greggs,2019,Consumer Services,Food and Drug Retailers,19151,20014,23350
GSK,2021,Health Care,Pharmaceuticals and Biotechnology,53151,76234,122852
GSK,2020,Health Care,Pharmaceuticals and Biotechnology,54133,73340,113830
GSK,2019,Health Care,Pharmaceuticals and Biotechnology,50467,68200,110638
GSK,2024,Health Care,Pharmaceuticals and Biotechnology,62876,85924,136010
GSK,2023,Health Care,Pharmaceuticals and Biotechnology,61490,83783,135819
GSK,2022,Health Care,Pharmaceuticals and Biotechnology,58883,79428,126594
Haleon,2024,Health Care,Pharmaceuticals and Biotechnology,64000,110000,147000
Haleon,2023,Health Care,Pharmaceuticals and Biotechnology,62000,114000,152000
Haleon,2022,Health Care,Pharmaceuticals and Biotechnology,36107,71266,97211
Halma,2025,Industrials,Electronic and Electrical Equipment,28044,38151,59285
Halma,2022,Industrials,Electronic and Electrical Equipment,24608,32430,50748
Halma,2021,Industrials,Electronic and Electrical Equipment,19830,25450,40097
Halma,2020,Industrials,Electronic and Electrical Equipment,20738,27265,43903
Halma,2024,Industrials,Electronic and Electrical Equipment,28275,36473,57501
Halma,2023,Industrials,Electronic and Electrical Equipment,26155,34781,53343
Hammerson,2024,Real Estate,Real Estate Investment Trusts,92000,133000,214000
Hammerson,2023,Real Estate,Real Estate Investment Trusts,86000,121000,201000
Hammerson,2022,Real Estate,Real Estate Investment Trusts,46000,73000,124000
Hammerson,2021,Real Estate,Real Estate Investment Trusts,44000,71000,120000
Harbour Energy,2024,Energy,"Oil, Gas and Coal",112163,133047,122897
Harbour Energy,2021,Energy,"Oil, Gas and Coal",58880,70210,97340
Harbour Energy,2023,Energy,"Oil, Gas and Coal",109255,132570,179575
Harbour Energy,2022,Energy,"Oil, Gas and Coal",57220,85513,92870
Hargreaves Lansdown,2020,Financials,Financial Services,26573,37625,58249
Hargreaves Lansdown,2021,Financials,Financial Services,26422,39796,57055
Hargreaves Lansdown,2024,Financials,Financial Services,28367,43608,75902
Hargreaves Lansdown,2023,Financials,Financial Services,29270,43000,72040
Hargreaves Lansdown,2022,Financials,Financial Services,25973,36497,58977
Hastings Group,2019,Financials,Non Life Insurance,18858,21236,29233
Hays,2023,Industrials,Support Services,30085,44354,75230
Hays,2021,Industrials,Support Services,27974,39781,65068
Hays,2020,Industrials,Support Services,26570,38397,62847
Hays,2022,Industrials,Support Services,30040,46588,79102
Hill and Smith,2023,Basic Materials,Industrial Metals and Mining,34384,32204,38111
Hill and Smith,2022,Basic Materials,Industrial Metals and Mining,26797,28385,33098
